num_vertices	np_len	np_perc	np_nanos	np_heap_len	np_heap_perc	np_heap_nanos	heap_len	heap_perc	heap_nanos	heap_mc_len	heap_mc_perc	heap_mc_nanos	greedy_len	greedy_perc	greedy_nanos	
8	37911.795474	1.000000	6001300	37911.795474	1.000000	4000900	38843.694145	0.976009	0	38843.694145	0.976009	0	38843.694145	0.976009	0	
8	41466.191904	1.000000	6001600	41466.191904	1.000000	4001400	41466.191904	1.000000	0	41466.191904	1.000000	0	41466.191904	1.000000	0	
8	35135.262228	1.000000	6000800	35135.262228	1.000000	3000600	35135.262228	1.000000	0	35135.262228	1.000000	0	35135.262228	1.000000	0	
8	40941.842559	1.000000	6001200	40941.842559	1.000000	3001000	40941.842559	1.000000	0	40941.842559	1.000000	0	40941.842559	1.000000	0	
8	37854.165201	1.000000	5001200	37854.165201	1.000000	5002000	37854.165201	1.000000	0	37854.165201	1.000000	0	37854.165201	1.000000	0	
8	31630.781109	1.000000	6001000	31630.781109	1.000000	4000800	31720.069765	0.997185	0	31720.069765	0.997185	0	31720.069765	0.997185	0	
8	33927.638798	1.000000	5001100	33927.638798	1.000000	3000600	33927.638798	1.000000	0	33927.638798	1.000000	0	33927.638798	1.000000	0	
8	31510.686968	1.000000	6001900	31510.686968	1.000000	4000900	31510.686968	1.000000	0	31510.686968	1.000000	0	31510.686968	1.000000	0	
8	38572.019906	1.000000	6001000	38572.019906	1.000000	5001400	41275.245670	0.934507	0	41275.245670	0.934507	0	41275.245670	0.934507	0	
8	35624.540581	1.000000	6010600	35624.540581	1.000000	3991400	35624.540581	1.000000	0	35624.540581	1.000000	0	35624.540581	1.000000	0	
8	31719.824917	1.000000	6001600	31719.824917	1.000000	2000700	31719.824917	1.000000	0	31719.824917	1.000000	0	31719.824917	1.000000	0	
8	39241.346989	1.000000	5000800	39241.346989	1.000000	5001900	40648.415669	0.965384	999500	40648.415669	0.965384	0	41390.357674	0.948079	0	
8	41243.865645	1.000000	6001800	41243.865645	1.000000	4000900	41243.865645	1.000000	0	41243.865645	1.000000	0	41243.865645	1.000000	0	
8	42947.424145	1.000000	6001700	42947.424145	1.000000	6000500	43832.690744	0.979804	0	43832.690744	0.979804	0	43832.690744	0.979804	0	
8	33177.859072	1.000000	6001400	33177.859072	1.000000	3001200	36096.147653	0.919152	0	36096.147653	0.919152	0	37661.158829	0.880957	0	
8	39602.062899	1.000000	6000700	39602.062899	1.000000	4001200	39602.062899	1.000000	0	39602.062899	1.000000	0	39843.123096	0.993950	0	
8	34099.966489	1.000000	6001200	34099.966489	1.000000	4001800	34099.966489	1.000000	0	34099.966489	1.000000	0	34099.966489	1.000000	0	
8	33988.311957	1.000000	6000300	33988.311957	1.000000	5001400	33988.311957	1.000000	0	33988.311957	1.000000	0	33988.311957	1.000000	0	
8	36887.852120	1.000000	6000900	36887.852120	1.000000	5001200	36887.852120	1.000000	0	36887.852120	1.000000	0	36887.852120	1.000000	0	
8	34563.867255	1.000000	6001900	34563.867255	1.000000	1999900	34563.867255	1.000000	0	34563.867255	1.000000	1000200	34563.867255	1.000000	0	
8	37900.655181	1.000000	6001600	37900.655181	1.000000	4000700	37900.655181	1.000000	0	37900.655181	1.000000	0	37900.655181	1.000000	0	
8	35523.946562	1.000000	7001600	35523.946562	1.000000	4001500	35836.669233	0.991274	0	35836.669233	0.991274	0	35836.669233	0.991274	0	
8	40734.526319	1.000000	6001800	40734.526319	1.000000	5000400	40734.526319	1.000000	0	40734.526319	1.000000	0	42592.263342	0.956383	0	
8	42103.824001	1.000000	6002000	42103.824001	1.000000	5000600	42103.824001	1.000000	0	42103.824001	1.000000	0	42590.325638	0.988577	0	
8	37374.661084	1.000000	6001100	37374.661084	1.000000	3001000	37374.661084	1.000000	0	37374.661084	1.000000	0	37374.661084	1.000000	0	
8	39035.299529	1.000000	6000900	39035.299529	1.000000	3000500	39035.299529	1.000000	0	39035.299529	1.000000	0	39035.299529	1.000000	0	
8	32199.365324	1.000000	7001500	32199.365324	1.000000	3000500	32199.365324	1.000000	0	32199.365324	1.000000	0	32199.365324	1.000000	0	
8	41850.131342	1.000000	6001800	41850.131342	1.000000	5001700	42541.748815	0.983743	0	42541.748815	0.983743	0	42541.748815	0.983743	0	
8	38086.920346	1.000000	5001200	38086.920346	1.000000	3000200	38086.920346	1.000000	0	38086.920346	1.000000	0	38086.920346	1.000000	0	
8	42778.084422	1.000000	5001200	42778.084422	1.000000	7001300	45479.377924	0.940604	0	46245.106459	0.925029	0	45479.377924	0.940604	0	
8	35264.793104	1.000000	6001100	35264.793104	1.000000	3001100	35264.793104	1.000000	0	35264.793104	1.000000	0	35264.793104	1.000000	0	
8	37785.311704	1.000000	6001000	37785.311704	1.000000	6002200	37785.311704	1.000000	999900	37785.311704	1.000000	0	37785.311704	1.000000	0	
8	28858.243829	1.000000	6002100	28858.243829	1.000000	5000400	29619.588004	0.974296	0	29619.588004	0.974296	0	29619.588004	0.974296	0	
8	41727.967825	1.000000	6002000	41727.967825	1.000000	4000200	41727.967825	1.000000	0	41727.967825	1.000000	0	41727.967825	1.000000	0	
8	32781.475180	1.000000	6002300	32781.475180	1.000000	5001300	32781.475180	1.000000	0	32781.475180	1.000000	0	32781.475180	1.000000	0	
8	30751.503063	1.000000	6001100	30751.503063	1.000000	5000500	30751.503063	1.000000	0	30751.503063	1.000000	0	30751.503063	1.000000	0	
8	32487.167854	1.000000	6001200	32487.167854	1.000000	4000900	32487.167854	1.000000	0	32487.167854	1.000000	0	32489.336048	0.999933	0	
8	37157.998482	1.000000	6001500	37157.998482	1.000000	3000900	37157.998482	1.000000	0	37157.998482	1.000000	1000400	37157.998482	1.000000	0	
8	44554.950209	1.000000	6000400	44554.950209	1.000000	5002300	47159.216965	0.944777	0	47159.216965	0.944777	0	47159.216965	0.944777	0	
8	34813.066332	1.000000	7000700	34813.066332	1.000000	4001200	39217.504517	0.887692	0	39217.504517	0.887692	0	39217.504517	0.887692	0	
8	40238.056199	1.000000	6001700	40238.056199	1.000000	3000600	40238.056199	1.000000	0	40238.056199	1.000000	0	40238.056199	1.000000	0	
8	36117.900649	1.000000	6000900	36117.900649	1.000000	3000700	36117.900649	1.000000	0	36117.900649	1.000000	0	36117.900649	1.000000	0	
