num_vertices	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	
100	83694.193732	1.000000	25005700	83694.193732	1.000000	1000100	83694.193732	1.000000	3000600	83780.022241	0.998976	3000600	
200	118775.274495	1.000000	196044100	118775.274495	1.000000	1000200	118775.274495	1.000000	9992300	120759.836768	0.983566	26006000	
200	121545.778214	1.000000	204045600	121670.992606	0.998971	1000500	121545.778214	1.000000	11002100	127140.663835	0.955995	26005800	
200	120509.844563	1.000000	175039900	120509.844563	1.000000	1000800	120509.844563	1.000000	12001900	125344.271723	0.961431	32006900	
200	117630.393367	1.000000	186042400	117651.710489	0.999819	1000200	117630.393367	1.000000	11002400	122130.876415	0.963150	26005800	
200	118844.539738	1.000000	196053600	118868.301483	0.999800	1000200	118844.539738	1.000000	9993000	127793.254603	0.929975	27015700	
200	116511.623438	1.000000	224050400	120611.078147	0.966011	999900	116511.623438	1.000000	12002800	121856.566611	0.956137	26006100	
200	113653.149821	1.000000	223049700	113653.149821	1.000000	1000200	113653.149821	1.000000	11002800	115998.655875	0.979780	24540500	
200	109154.080481	1.000000	134030400	109154.080481	1.000000	0	109154.080481	1.000000	7989100	113444.205925	0.962183	26005800	
200	118910.977017	1.000000	225051000	118910.977017	1.000000	1000300	118910.977017	1.000000	12002900	122979.519457	0.966917	25005800	
200	116446.874511	1.000000	209056700	116446.874511	1.000000	1000300	116446.874511	1.000000	11002500	119429.463245	0.975026	26006200	
200	122147.379650	1.000000	192045900	122179.418492	0.999738	997300	122147.379650	1.000000	11002400	124908.032038	0.977899	25005400	
200	120507.270812	1.000000	137078700	120507.270812	1.000000	1008600	120507.270812	1.000000	7993700	123249.292466	0.977752	27005300	
200	119726.783103	1.000000	233051700	119726.783103	1.000000	1000300	119726.783103	1.000000	12002000	122708.112969	0.975704	28006300	
200	119569.601354	1.000000	216049400	119569.601354	1.000000	999900	119569.601354	1.000000	14003800	125097.678956	0.955810	32007000	
200	118309.730185	1.000000	232061300	118462.322860	0.998712	1000200	118309.730185	1.000000	11002400	121119.368359	0.976803	27006500	
200	122355.628386	1.000000	196564700	122355.628386	1.000000	1000600	122355.628386	1.000000	10001900	124247.665149	0.984772	27006100	
200	123942.337397	1.000000	218048300	124935.002286	0.992055	1000300	123942.337397	1.000000	11002300	126470.588004	0.980009	26006000	
200	118077.654258	1.000000	243054800	118077.654258	1.000000	1000200	118077.654258	1.000000	13003100	119835.002441	0.985335	26006900	
200	120815.385475	1.000000	212047100	121121.345539	0.997474	1000400	120815.385475	1.000000	12002500	125308.902383	0.964140	28006100	
200	123712.955428	1.000000	173568500	123712.955428	1.000000	999800	123712.955428	1.000000	10002300	125809.381538	0.983336	27006200	
200	121623.632003	1.000000	153034400	121623.632003	1.000000	1000100	121623.632003	1.000000	8001700	125475.709390	0.969300	27006300	
200	117981.636273	1.000000	196088500	117981.636273	1.000000	1000800	117981.636273	1.000000	10011300	119470.069005	0.987541	26005800	
200	122239.161583	1.000000	173039100	122239.161583	1.000000	1002900	122239.161583	1.000000	9999400	126178.718118	0.968778	25008500	
200	124368.482644	1.000000	209044200	124831.634085	0.996290	1000200	124368.482644	1.000000	11002600	130886.116463	0.950204	26592500	
200	115476.178349	1.000000	228041400	115476.178349	1.000000	1001000	115476.178349	1.000000	11002300	116401.660087	0.992049	26005400	
200	119383.757933	1.000000	215057600	119383.757933	1.000000	1000300	119383.757933	1.000000	12002700	120527.165698	0.990513	24996600	
200	123120.133311	1.000000	246055000	123120.133311	1.000000	1000500	123120.133311	1.000000	17003300	131462.430857	0.936542	33007600	
200	118575.653768	1.000000	189567000	118575.653768	1.000000	999900	118575.653768	1.000000	11002300	121170.926897	0.978582	25005600	
200	121334.743131	1.000000	171038500	121334.743131	1.000000	1000400	121334.743131	1.000000	9001900	123435.865016	0.982978	26030500	
200	114644.360051	1.000000	186029500	114644.360051	1.000000	997400	114644.360051	1.000000	13002900	120624.259598	0.950425	32007200	
200	121114.268879	1.000000	250046200	122689.903778	0.987158	1040900	121114.268879	1.000000	11962400	127018.614411	0.953516	26005300	
200	117916.206566	1.000000	211597200	117916.206566	1.000000	995000	117916.206566	1.000000	10002000	123142.028788	0.957563	27005900	
