num_vertices	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_weighted_edge_len	greedy_weighted_edge_perc	greedy_weighted_edge_nanos	
200	121810.562484	1.000000	8001000	121810.562484	1.000000	1000400	262900.375213	0.463334	14003600	
200	115060.817232	1.000000	12002900	115060.817232	1.000000	999900	213089.898466	0.539964	15002800	
200	122874.910570	1.000000	10002200	123219.129481	0.997206	1000900	200864.971886	0.611729	12002100	
200	114647.563375	1.000000	12003200	114647.563375	1.000000	999800	279366.993283	0.410383	14003000	
200	118114.567847	1.000000	12002700	118663.119037	0.995377	1000400	183683.975174	0.643031	12003500	
200	117441.367964	1.000000	13001900	117475.013692	0.999714	1000400	247096.320318	0.475286	12002600	
200	122635.359798	1.000000	11003000	122764.163321	0.998951	999700	277582.852781	0.441797	14003400	
200	118485.171950	1.000000	10002500	119086.835420	0.994948	999800	185608.114667	0.638362	13003000	
200	119933.720676	1.000000	10002200	119933.720676	1.000000	1000300	288202.799174	0.416143	14003200	
200	116285.004075	1.000000	15003300	116285.004075	1.000000	1000200	228536.691831	0.508824	13003000	
200	118653.681189	1.000000	10002000	118653.681189	1.000000	1000400	251087.560422	0.472559	14003200	
200	118222.196208	1.000000	10002100	118222.196208	1.000000	1000200	291339.883560	0.405788	14003600	
200	121921.488697	1.000000	11002300	122054.758267	0.998908	1000400	210591.574538	0.578948	12002300	
200	124692.780504	1.000000	14003300	124752.039187	0.999525	1000000	193829.599541	0.643311	12002800	
200	120788.439451	1.000000	10002300	120788.439451	1.000000	1000900	171825.407935	0.702972	12011800	
200	122278.900516	1.000000	14002900	122731.015004	0.996316	1000300	220685.427013	0.554087	13005800	
200	119017.591906	1.000000	11002500	119017.591906	1.000000	1997500	260759.037116	0.456427	14004000	
200	123670.553255	1.000000	16041900	123801.708118	0.998941	1008300	191577.165981	0.645539	12002400	
200	115138.767519	1.000000	12005900	115138.767519	1.000000	997000	181354.586786	0.634882	13045400	
200	111613.275646	1.000000	10951800	111840.526383	0.997968	1000400	298631.219935	0.373750	14001500	
200	118948.070180	1.000000	12002800	119118.911844	0.998566	1000200	255079.304265	0.466318	12559700	
200	120218.467168	1.000000	10003400	120218.467168	1.000000	999400	197099.571876	0.609938	12002300	
200	115651.990404	1.000000	12002700	116598.866745	0.991879	1000500	176281.363615	0.656065	12002500	
200	118901.868182	1.000000	13003100	118901.868182	1.000000	1000400	171842.807036	0.691922	12012200	
200	121222.350577	1.000000	9002000	121222.350577	1.000000	1000100	338019.317718	0.358626	13002800	
200	111909.165559	1.000000	10993200	114356.929710	0.978595	1000600	261859.777732	0.427363	14078300	
200	116713.413117	1.000000	9936200	116713.413117	1.000000	1000100	218489.990401	0.534182	14003300	
200	118403.432311	1.000000	13993000	118403.432311	1.000000	1000400	214038.380863	0.553188	12002300	
200	122587.014713	1.000000	11002900	124486.101930	0.984745	999900	247309.560953	0.495682	13055900	
200	120261.373715	1.000000	11951700	120261.373715	1.000000	999300	245103.523051	0.490655	13003300	
200	120765.980278	1.000000	9001000	120765.980278	1.000000	1000400	258067.203981	0.467963	13002800	
200	119250.665196	1.000000	15004800	119250.665196	1.000000	999300	226413.247404	0.526695	13003500	
200	124361.637329	1.000000	11002200	124361.637329	1.000000	1000000	176514.087231	0.704542	11002100	
200	122167.606378	1.000000	11003000	122523.094109	0.997099	999500	186201.102829	0.656106	11002500	
200	122145.622877	1.000000	9002400	122252.348092	0.999127	999800	168232.967924	0.726050	10003600	
200	120343.206809	1.000000	8000800	120343.206809	1.000000	1000100	218681.675974	0.550312	14002500	
200	123639.534345	1.000000	12002400	123639.534345	1.000000	1000200	267574.815574	0.462075	15003300	
200	126128.034508	1.000000	11002500	126128.034508	1.000000	1000600	208532.349054	0.604837	13003400	
200	119388.976052	1.000000	11002400	119466.008948	0.999355	999800	181759.232727	0.656852	12002600	
200	121473.303989	1.000000	14003200	122169.760473	0.994299	1001300	222871.147089	0.545038	13001900	
200	121292.633676	1.000000	13003900	121866.390672	0.995292	1000500	237219.527994	0.511310	14002300	
200	116215.614168	1.000000	13003000	116215.614168	1.000000	1000400	230760.085302	0.503621	13002600	
200	121066.298195	1.000000	10002100	121066.298195	1.000000	1000100	157523.625459	0.768560	10002300	
200	122521.435147	1.000000	11003300	122521.435147	1.000000	999400	213774.033346	0.573135	12002800	
200	114655.644918	1.000000	11003100	115749.301823	0.990552	999700	269117.597213	0.426043	13003500	
200	122241.098349	1.000000	7000800	122241.098349	1.000000	1000200	269631.105790	0.453364	13003200	
200	117341.638195	1.000000	11003300	118853.657014	0.987278	999100	249850.050482	0.469648	13003100	
200	119457.178128	1.000000	13002700	119457.178128	1.000000	2000500	215145.468704	0.555239	13002900	
300	147281.897539	1.000000	26005800	147373.241341	0.999380	2000500	307957.965502	0.478253	31007100	
300	144944.125004	1.000000	28006400	144965.684058	0.999851	2044000	230325.558232	0.629301	28963600	
300	144845.229841	1.000000	35007400	144963.915663	0.999181	3000900	236830.310716	0.611599	34007000	
300	148285.503742	1.000000	26005800	148285.503742	1.000000	2000700	306724.179916	0.483449	30016300	
300	147586.736067	1.000000	26006200	147818.228243	0.998434	2001300	353014.606759	0.418075	33006300	
300	151422.781487	1.000000	21537600	151422.781487	1.000000	2009700	298200.314798	0.507789	31007600	
300	150712.570883	1.000000	23996300	150739.174468	0.999824	2000000	326100.088946	0.462167	35017100	
300	145828.101517	1.000000	25005300	145828.101517	1.000000	2000700	270047.976375	0.540008	30998200	
300	146345.092992	1.000000	26004600	146345.092992	1.000000	2010500	402023.396758	0.364021	32997400	
300	149194.589361	1.000000	22004900	149194.589361	1.000000	2000000	314304.122656	0.474682	29006900	
300	149646.018004	1.000000	27005700	149646.018004	1.000000	2000500	342510.293334	0.436910	35008000	
300	146034.515136	1.000000	26005800	146034.515136	1.000000	2001600	291633.822565	0.500746	36007900	
300	145901.795408	1.000000	30006600	145901.795408	1.000000	2999600	323794.434315	0.450600	35008400	
300	147345.263565	1.000000	14003200	147345.263565	1.000000	2000300	297592.876431	0.495124	32008000	
300	144826.267359	1.000000	23005100	144882.267085	0.999613	2000400	245693.091596	0.589460	28005900	
300	143604.775481	1.000000	19033400	143610.233827	0.999962	1971200	327847.453944	0.438023	33007700	
300	141318.768140	1.000000	20004700	141318.768140	1.000000	1000300	272893.138525	0.517854	29005900	
300	152426.615414	1.000000	20004500	152426.615414	1.000000	1000200	220196.851550	0.692229	28006300	
300	148107.983110	1.000000	25005600	148107.983110	1.000000	1000200	395877.570508	0.374126	33017100	
300	151379.924497	1.000000	20004800	152274.899164	0.994123	2000200	218202.224205	0.693760	27055100	
300	145489.860431	1.000000	21956100	145489.860431	1.000000	2000300	283813.294502	0.512625	30006700	
300	143886.086826	1.000000	32998400	143886.086826	1.000000	3000200	293919.481727	0.489543	33008100	
300	150069.981703	1.000000	27006300	150086.951266	0.999887	2000000	315064.097422	0.476316	35009400	
300	148144.379396	1.000000	25004300	149140.144380	0.993323	2000200	282077.721916	0.525190	32007400	
300	144672.873531	1.000000	26008400	144672.873531	1.000000	1999600	289250.267472	0.500165	32005100	
300	151147.011129	1.000000	26005400	151147.011129	1.000000	2000600	345553.002858	0.437406	30007300	
300	151260.303632	1.000000	28006200	151287.967150	0.999817	2000300	266212.850932	0.568193	30006600	
300	145201.580009	1.000000	29006300	145214.866924	0.999909	2000400	276262.247410	0.525593	32007300	
300	144671.753319	1.000000	24006000	144671.753319	1.000000	2000300	241911.430135	0.598036	26031600	
300	149004.343979	1.000000	26980900	149004.343979	1.000000	1999700	335750.816239	0.443794	31007700	
300	152743.215739	1.000000	27005400	152905.203607	0.998941	2000300	303132.135580	0.503883	29006300	
300	148697.890340	1.000000	35017000	148697.890340	1.000000	2002000	254210.971276	0.584939	27006200	
300	150292.348766	1.000000	24005300	150292.348766	1.000000	1000400	340757.077875	0.441054	33007200	
300	144982.810857	1.000000	27015900	144982.810857	1.000000	2000400	369260.217073	0.392630	33007200	
300	146509.993568	1.000000	24996900	146509.993568	1.000000	2009400	240652.651633	0.608803	28006100	
300	145502.243523	1.000000	26997000	145502.243523	1.000000	2000600	230503.805102	0.631236	27005700	
300	144524.819650	1.000000	27006900	144524.819650	1.000000	1999300	288680.820904	0.500639	29006600	
300	143711.289166	1.000000	25005300	143711.289166	1.000000	1000400	366351.476100	0.392277	32007200	
300	150304.050314	1.000000	19032300	150304.050314	1.000000	1972100	393403.192066	0.382061	33007900	
300	145775.651592	1.000000	25005600	145775.651592	1.000000	2000500	310959.913348	0.468792	30539200	
300	147264.482888	1.000000	28006700	147290.723360	0.999822	2000000	292906.282260	0.502770	31006900	
300	142923.719196	1.000000	30007500	142923.719196	1.000000	2000000	286612.886785	0.498665	30006400	
300	145124.869136	1.000000	27006200	145124.869136	1.000000	2000400	315841.021272	0.459487	33007900	
300	139439.260079	1.000000	28006200	139779.515024	0.997566	2000800	304417.336386	0.458053	33007500	
300	150870.774293	1.000000	26005000	150870.774293	1.000000	2000500	240267.609674	0.627928	29006500	
300	145579.267159	1.000000	25005600	145579.267159	1.000000	2000500	248850.640162	0.585007	30006600	
300	145618.837395	1.000000	28035400	145717.349224	0.999324	1971400	340989.785174	0.427048	35007900	
300	142918.892784	1.000000	26006000	142918.892784	1.000000	2000500	261438.661726	0.546663	31007000	
300	143292.555995	1.000000	29007400	143292.555995	1.000000	1999300	326767.687604	0.438515	30006800	
300	149932.592254	1.000000	29169600	149932.592254	1.000000	3000600	266913.915147	0.561726	36010600	
300	145938.850967	1.000000	27006100	145938.850967	1.000000	3000700	307458.077986	0.474663	30006900	
300	143695.059826	1.000000	23005400	143695.059826	1.000000	1999900	391135.237161	0.367379	35008000	
300	149357.474578	1.000000	19003900	149357.474578	1.000000	2000200	368864.576526	0.404911	32007300	
300	145553.619702	1.000000	21005200	145553.619702	1.000000	2000400	287031.646086	0.507100	31007000	
300	146706.671800	1.000000	26006400	146706.671800	1.000000	2000200	216943.501496	0.676244	26005700	
300	147134.932384	1.000000	23005300	147134.932384	1.000000	2000500	365770.864876	0.402260	34007300	
300	150087.159715	1.000000	17003800	150087.159715	1.000000	2000600	272972.731905	0.549825	33008000	
300	144656.308648	1.000000	22004700	144656.308648	1.000000	2000500	236893.422526	0.610639	28006200	
300	145605.823488	1.000000	23004800	145664.297380	0.999599	2001200	254588.282917	0.571927	30005900	
300	145851.426233	1.000000	19004900	146163.983974	0.997862	2001200	378560.325702	0.385279	33006400	
300	143480.837246	1.000000	20005100	143644.391426	0.998861	1999900	346448.247798	0.414148	35007500	
300	148642.631474	1.000000	26006300	149011.024693	0.997528	2000000	242269.633106	0.613542	27006700	
300	141090.837177	1.000000	25005300	141090.837177	1.000000	2000400	254641.513310	0.554076	30006800	
300	148514.901223	1.000000	26006000	148514.901223	1.000000	2000300	410896.897656	0.361441	33007700	
300	148177.780213	1.000000	26005600	148177.780213	1.000000	2000600	298085.633271	0.497098	30007100	
300	149263.297350	1.000000	25005000	149263.297350	1.000000	2000600	287036.070660	0.520016	31006900	
300	144459.515072	1.000000	25005300	144459.515072	1.000000	2000400	356106.366445	0.405664	32007100	
300	145062.471557	1.000000	27007000	145062.471557	1.000000	1999900	237540.280462	0.610686	29039900	
300	145448.608262	1.000000	35976200	145448.608262	1.000000	1999100	291064.129281	0.499713	30006800	
300	143761.409329	1.000000	25004900	143761.409329	1.000000	2000700	343173.801761	0.418917	32006900	
300	143847.351676	1.000000	23005200	143847.351676	1.000000	2000300	320443.372597	0.448901	32007800	
300	144805.629927	1.000000	26005300	144805.629927	1.000000	2000700	256135.133636	0.565349	30006500	
300	149362.032766	1.000000	27006200	149362.032766	1.000000	2000600	245206.854737	0.609127	26015200	
300	142969.594613	1.000000	29006800	143007.995119	0.999731	2000300	357949.837048	0.399412	33007800	
300	145637.090686	1.000000	21996400	145637.090686	1.000000	1008300	372461.507092	0.391012	33007300	
300	154953.927508	1.000000	25997200	154953.927508	1.000000	1000400	309392.665445	0.500833	30005600	
300	146889.238096	1.000000	29007600	147232.390955	0.997669	1999700	259256.308279	0.566579	27006100	
300	145784.248160	1.000000	22004700	146090.320929	0.997905	2000700	318565.818072	0.457627	34046100	
300	149069.084046	1.000000	24966800	149069.084046	1.000000	1000600	284848.486295	0.523328	28006600	
300	152070.196707	1.000000	28006300	152129.595888	0.999610	2000000	253161.145851	0.600685	28006400	
300	146219.778498	1.000000	28005500	146800.769750	0.996042	1000300	244435.373025	0.598194	28618900	
300	141562.820788	1.000000	26006000	141562.820788	1.000000	2000400	260721.790806	0.542965	29006900	
300	144325.407396	1.000000	25005600	144417.128857	0.999365	2000300	294107.667715	0.490723	32007100	
300	143403.730674	1.000000	32007800	143403.730674	1.000000	2000300	281166.791198	0.510031	31006400	
300	140590.148473	1.000000	33006700	140590.148473	1.000000	2000100	376276.832930	0.373635	34007700	
300	146674.025483	1.000000	21005300	146681.367409	0.999950	1999900	255708.470712	0.573599	29006500	
300	144247.354515	1.000000	30007000	144576.010376	0.997727	2000600	338215.432623	0.426495	32007100	
