num_vertices	heap_mc_len	heap_mc_nanos	gready_len	gready_len_perc	greedy_nanos	
20	37305.135003	10001900	37516.399512	0.994369	0
20	38494.914619	8001100	38494.914619	1.000000	0
20	43626.543501	54012800	43887.841917	0.994046	0
20	37427.584852	89032600	37877.091213	0.988133	998700
20	38098.080444	11002400	38352.182796	0.993375	0
20	34175.317763	54080300	34175.317763	1.000000	0
20	37013.396200	2921800	39629.758568	0.933980	0
20	39041.332529	15163400	39746.918876	0.982248	0
20	37540.983234	7841100	37540.983234	1.000000	0
20	39069.621356	39060000	39427.809744	0.990915	0
20	40888.021923	72532100	40888.021923	1.000000	0
20	37494.898837	26006900	37829.645630	0.991151	0
20	38677.227489	17002700	40116.949425	0.964112	0
20	39465.751208	7002200	40741.462666	0.968688	0
20	38925.343915	12523800	38925.343915	1.000000	0
20	36992.291133	4575200	38621.380478	0.957819	0
20	40111.460259	6002000	40953.696551	0.979434	0
20	35976.382629	7001400	35976.382629	1.000000	0
20	39547.996395	19498300	40744.061729	0.970644	0
20	40747.518950	55531500	42329.739816	0.962622	0
20	37468.805247	10610400	37825.385453	0.990573	0
20	41388.633049	31172600	41399.837668	0.999729	0
20	41560.133870	172814300	42076.731961	0.987722	0
20	40470.023597	26538000	40952.887001	0.988209	0
20	40919.179346	19818100	40919.179346	1.000000	0
20	34548.324029	4000100	34548.324029	1.000000	0
20	42980.627919	18348900	45554.363870	0.943502	0
20	42834.467625	43518400	43519.685523	0.984255	0
20	37024.056582	4009400	37534.862955	0.986391	0
20	38290.991829	192347100	38346.413844	0.998555	0
20	41643.498330	19604300	41870.041998	0.994589	0
20	36016.654582	15005500	36016.654582	1.000000	0
25	40633.546573	66977100	40862.151206	0.994405	995800
25	45043.664374	4711349600	46617.760201	0.966234	0
25	44943.708179	298082700	47109.616578	0.954024	0
25	45339.138795	148041500	45739.175833	0.991254	0
25	41726.611589	509701100	43158.092830	0.966832	0
25	44629.773770	2165210600	45575.880249	0.979241	0
25	38398.004875	252139400	40066.870981	0.958348	0
25	46702.243719	714381900	48642.170615	0.960118	0
25	42950.119023	9929786100	42950.119023	1.000000	0
25	42262.805718	667719700	42821.901007	0.986944	0
25	43275.872258	3593931600	44937.710244	0.963019	0
25	42473.430606	8532045200	43044.895282	0.986724	0
25	38869.273790	4607163500	39859.343129	0.975161	0
25	44136.126179	4717177800	44959.924175	0.981677	0
25	45628.743635	118516300	48011.955289	0.950362	0
25	39417.940831	2436839500	41001.822622	0.961370	0
25	48079.368296	1300430600	48193.407462	0.997634	0
25	40228.623988	292852000	42825.694537	0.939357	0
25	42593.274887	516530600	43593.072746	0.977065	0
25	44402.699720	156694100	45824.378171	0.968975	0
25	41077.844989	173831600	41157.225585	0.998071	0
25	42525.793918	237522600	42790.530151	0.993813	0
25	40350.260602	947387900	41550.995266	0.971102	0
25	44181.748625	1996956800	46233.835578	0.955615	0
25	41114.789246	2302596900	41373.373863	0.993750	0
25	44554.484479	448204600	45106.230585	0.987768	0
25	36992.145789	1844179300	36992.145789	1.000000	0
25	40044.642843	95994000	42230.549013	0.948239	0
25	47039.799540	745195900	51374.810128	0.915620	0
25	41085.830709	77017700	41085.830709	1.000000	0
25	41750.829595	8002400	42547.064372	0.981286	0
25	46003.181037	1157542400	46623.653504	0.986692	0
25	44159.488086	959398800	44159.488086	1.000000	0
25	43019.489281	9007544700	44735.666215	0.961637	0
25	37141.322297	65911500	37635.758495	0.986863	0
25	38283.732869	76232600	39206.639897	0.976460	0
25	42609.369685	634067100	42701.895615	0.997833	0
25	45579.600297	881242100	45802.138665	0.995141	0
25	40518.398896	601464500	40518.398896	1.000000	0
25	37016.449936	331669800	37290.898135	0.992640	0
25	43160.765701	66028600	44381.157570	0.972502	0
25	38246.983772	161872600	38246.983772	1.000000	0
25	44065.855926	175460300	44065.855926	1.000000	0
25	38338.574771	129634500	39671.572663	0.966399	0
25	39725.225269	41030800	39956.404786	0.994214	0
25	41940.842046	82304900	43732.988855	0.959021	0
25	40217.429049	55040900	40408.646162	0.995268	0
25	41962.973579	704667400	42429.886288	0.988996	0
25	45047.527008	3488079500	45894.445610	0.981546	0
25	48140.308240	309987400	50084.006349	0.961191	0
25	38344.826822	114550900	38513.240838	0.995627	0
25	44391.078627	788284700	45178.453370	0.982572	0
25	40511.448384	37024100	40769.259429	0.993676	0
25	41201.364064	68044900	41368.284016	0.995965	1000100
25	33256.139203	43033200	33621.273031	0.989140	0
25	43392.857420	337008900	43532.440578	0.996794	0
25	40510.110572	901565100	40549.621864	0.999026	0
25	41959.132343	360650800	42607.430538	0.984784	1000500
25	44125.001858	723124300	44902.881007	0.982676	1000900
25	41883.729052	226574900	43163.658427	0.970347	0
25	43697.203941	391129300	43697.203941	1.000000	0
25	43878.038869	4960135800	44693.810054	0.981748	0
25	41518.569817	14874379400	41598.907133	0.998069	0
25	44222.007588	188933600	44222.007588	1.000000	0
25	40085.361655	27892200	40085.361655	1.000000	0
25	40690.875513	8241495600	40967.811503	0.993240	999600
25	44055.068439	8432308000	44789.637869	0.983600	0
25	42341.977335	4598050300	44107.075015	0.959982	0
25	37925.716626	187967200	37925.716626	1.000000	0
25	40108.071216	85118400	40167.231599	0.998527	0
25	43532.562176	48769000	43787.638464	0.994175	0
25	42191.784816	5168431100	43091.954235	0.979110	0
25	43813.294590	726687600	44251.028829	0.990108	0
