num_vertices	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_len	greedy_perc	greedy_nanos	
300	141159.171435	1.000000	31515700	141159.171435	1.000000	2000800	
300	146687.674196	1.000000	26005400	146724.535433	0.999749	2000300	
300	145026.310170	1.000000	25005400	145026.310170	1.000000	2000400	
300	146069.785470	1.000000	29013400	146292.600245	0.998477	2000300	
300	152869.391177	1.000000	23005400	152869.391177	1.000000	999700	
400	171981.551202	1.000000	51012600	171981.551202	1.000000	4000300	
400	166846.719892	1.000000	60028800	166848.966490	0.999987	3001100	
400	171221.696116	1.000000	36008000	171221.696116	1.000000	3001100	
400	173173.189444	1.000000	39012000	173449.504800	0.998407	3003600	
400	167382.052370	1.000000	42022100	167382.052370	1.000000	3000000	
400	169571.376628	1.000000	34939500	169571.376628	1.000000	3000600	
400	166894.934405	1.000000	48556500	166894.934405	1.000000	3000900	
400	169768.234620	1.000000	50530800	169775.672116	0.999956	4001100	
400	169361.992732	1.000000	46540300	169361.992732	1.000000	3507200	
400	169324.284070	1.000000	61051600	169523.254737	0.998826	3000600	
400	175675.735999	1.000000	38009100	175739.465950	0.999637	3001700	
400	166131.731376	1.000000	42335300	166176.972380	0.999728	4001200	
400	172629.751775	1.000000	40515300	172629.751775	1.000000	4000500	
400	171295.452316	1.000000	51022500	171295.452316	1.000000	3992200	
400	171277.472738	1.000000	41024300	171277.472738	1.000000	4000900	
400	170508.111071	1.000000	40009100	170508.111071	1.000000	4000800	
400	171194.864854	1.000000	53020000	171194.864854	1.000000	3000900	
400	169105.906474	1.000000	49023100	169105.906474	1.000000	4001400	
400	175997.902099	1.000000	45027100	175997.902099	1.000000	3001300	
400	174991.228517	1.000000	51012900	174991.228517	1.000000	3000900	
400	163653.413491	1.000000	41008800	163653.413491	1.000000	3001200	
400	168867.398604	1.000000	57422200	168867.398604	1.000000	4000900	
400	167499.109282	1.000000	47517700	167499.109282	1.000000	3001000	
400	171463.263094	1.000000	58019800	171463.263094	1.000000	3507400	
400	175073.223954	1.000000	46516500	175193.602050	0.999313	4000800	
400	169901.158481	1.000000	50014500	169901.158481	1.000000	3002000	
400	171925.192667	1.000000	33024500	172116.644807	0.998888	2999500	
400	163722.286712	1.000000	45012100	163722.286712	1.000000	3999600	
400	169875.889368	1.000000	59820200	170503.031498	0.996322	3000600	
400	171204.857964	1.000000	55520500	171204.857964	1.000000	4000000	
400	172196.775097	1.000000	38519900	172196.775097	1.000000	4000500	
400	168770.433606	1.000000	24515700	168770.433606	1.000000	3001200	
400	165954.470643	1.000000	40516000	165954.470643	1.000000	3000500	
400	168475.052007	1.000000	79034900	168769.007604	0.998258	4507100	
400	169535.123157	1.000000	54517900	169954.098706	0.997535	4001100	
400	169639.555273	1.000000	40013000	169639.555273	1.000000	4000900	
400	171726.468253	1.000000	49858800	171726.468253	1.000000	4000300	
400	168618.881611	1.000000	44012300	168879.190054	0.998459	3001700	
400	169950.150333	1.000000	54513900	169950.150333	1.000000	3000000	
400	173496.956561	1.000000	59524300	173560.775807	0.999632	4001100	
400	168739.501766	1.000000	51026100	168739.501766	1.000000	3000500	
400	174590.459910	1.000000	55041700	174590.459910	1.000000	3001000	
400	170272.567725	1.000000	46523800	170289.326147	0.999902	3512800	
400	175890.640779	1.000000	37002700	175890.640779	1.000000	3001300	
400	167423.291292	1.000000	52015100	167541.278979	0.999296	3000900	
400	164337.332006	1.000000	49025500	164337.332006	1.000000	4001900	
400	167816.846661	1.000000	55011700	167816.846661	1.000000	4542500	
400	167670.075092	1.000000	50522000	167670.075092	1.000000	4000800	
400	168161.852152	1.000000	45010900	169163.326630	0.994080	4000200	
400	170441.511846	1.000000	47523400	170441.511846	1.000000	3506800	
400	176480.568602	1.000000	52011400	176505.072955	0.999861	4001300	
400	170564.478174	1.000000	65616400	170564.478174	1.000000	3000500	
400	169016.736348	1.000000	47010600	169016.736348	1.000000	3000100	
400	167552.351860	1.000000	64663900	167552.351860	1.000000	3000600	
400	171956.156847	1.000000	49524700	171956.156847	1.000000	2992900	
400	169133.821782	1.000000	51373100	169160.901892	0.999840	4001400	
400	166755.961950	1.000000	44516100	166782.134382	0.999843	4001000	
400	167556.860190	1.000000	46015400	167556.860190	1.000000	3000300	
400	170084.755021	1.000000	41024000	170084.755021	1.000000	4007600	
400	174705.643653	1.000000	44015500	174705.643653	1.000000	3000600	
400	172191.315072	1.000000	36021700	172191.315072	1.000000	3000500	
400	167918.872712	1.000000	44932600	167918.872712	1.000000	2998700	
400	171633.374800	1.000000	54011700	171633.374800	1.000000	4001600	
400	166284.011499	1.000000	57018300	166527.416123	0.998538	3001100	
400	180413.981602	1.000000	59020500	180413.981602	1.000000	3999600	
400	169970.324334	1.000000	52090400	169970.324334	1.000000	4001800	
400	172057.668058	1.000000	45012500	172076.674370	0.999890	4000700	
400	172503.221990	1.000000	53522200	172516.233240	0.999925	3000300	
400	173486.254628	1.000000	49519100	173486.254628	1.000000	3000900	
400	164908.088483	1.000000	51024700	165025.853174	0.999286	3991200	
400	174495.699577	1.000000	48266800	174542.314545	0.999733	4003700	
400	162944.908533	1.000000	51266200	163715.109666	0.995295	3001000	
400	167078.135292	1.000000	71524900	167078.135292	1.000000	3000500	
400	170008.822341	1.000000	49520200	170008.822341	1.000000	4001900	
400	167424.898422	1.000000	34022500	167424.898422	1.000000	3001900	
400	167572.178109	1.000000	41008700	167572.178109	1.000000	3000100	
400	167585.777649	1.000000	55533200	167780.077874	0.998842	4001400	
400	169233.268408	1.000000	43519400	169337.909555	0.999382	4001900	
400	170536.355802	1.000000	55035100	170536.355802	1.000000	3000700	
400	168629.214087	1.000000	44556600	168863.911552	0.998610	3526900	
400	171563.250466	1.000000	46001700	171563.250466	1.000000	3009300	
400	171227.069371	1.000000	36303400	171227.069371	1.000000	2990500	
400	165343.335306	1.000000	37880900	166708.310955	0.991812	3995600	
400	172366.635065	1.000000	48020600	172366.635065	1.000000	3001000	
400	173090.701974	1.000000	55541400	173090.701974	1.000000	3000600	
400	168986.023794	1.000000	49519400	168986.023794	1.000000	2999800	
400	171752.233629	1.000000	50014600	172132.574841	0.997790	3000700	
400	175528.919057	1.000000	51523000	175753.948379	0.998720	3000200	
400	170400.244335	1.000000	52015100	170456.084871	0.999672	3001600	
400	171428.636379	1.000000	66650100	171428.636379	1.000000	2999700	
400	171504.300892	1.000000	54522600	171504.300892	1.000000	5013300	
400	169475.912372	1.000000	56121600	169684.238803	0.998772	3004900	
400	165534.750056	1.000000	54008400	165642.626204	0.999349	4000900	
400	173779.384186	1.000000	57031600	173779.384186	1.000000	4000700	
400	168334.458457	1.000000	63014600	168334.458457	1.000000	4000400	
400	166744.136965	1.000000	55033300	166744.136965	1.000000	2996400	
400	170076.983007	1.000000	42009300	170152.959517	0.999553	4001400	
400	169372.623200	1.000000	55201300	169372.623200	1.000000	2999900	
400	169684.933113	1.000000	65521300	169684.933113	1.000000	5001100	
400	167720.395266	1.000000	54068400	167720.395266	1.000000	5001100	
500	192181.744585	1.000000	89033300	192181.744585	1.000000	5001000	
500	192282.122751	1.000000	104098300	192282.122751	1.000000	6015100	
500	189907.890464	1.000000	81074000	189907.890464	1.000000	5002700	
500	192991.126797	1.000000	66016900	192991.126797	1.000000	4024300	
500	190426.183299	1.000000	101538400	190432.122933	0.999969	5014700	
500	190202.876691	1.000000	107092400	190328.495159	0.999340	5010900	
500	190716.221502	1.000000	85036100	191878.491708	0.993943	6002200	
500	187957.471221	1.000000	82021700	187957.471221	1.000000	5008400	
500	182067.215102	1.000000	74012200	182138.703210	0.999608	5001100	
500	185397.729180	1.000000	109048700	185556.998671	0.999142	4991700	
500	195884.476628	1.000000	63571500	195884.476628	1.000000	5005200	
500	187385.766808	1.000000	70997500	187385.766808	1.000000	5032200	
500	187769.974009	1.000000	68480800	187835.722357	0.999650	6000600	
500	187136.736414	1.000000	79020700	187136.736414	1.000000	5001500	
500	191040.858062	1.000000	93840100	191044.123468	0.999983	5000900	
500	191327.551475	1.000000	67088700	191327.551475	1.000000	5001300	
500	188404.832357	1.000000	73722100	188404.832357	1.000000	5010200	
500	188253.132348	1.000000	80054400	188253.132348	1.000000	5010500	
500	190996.562599	1.000000	73548800	191194.729251	0.998964	4530000	
500	188289.219009	1.000000	84009500	188456.629819	0.999112	5000900	
500	189467.042722	1.000000	78029000	189467.042722	1.000000	5000700	
