num_vertices	heap_mc_len	heap_mc_perc	heap_mc_nanos	heap_limited_len	heap_limited_perc	heap_limited_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	
12	25468.091550	1.000000	0	25872.541708	0.984368	0	25468.091550	1.000000	0	25468.091550	1.000000	0	25468.091550	1.000000	0	25468.091550	1.000000	0	
12	25468.091550	1.000000	0	25872.541708	0.984368	0	25468.091550	1.000000	0	25468.091550	1.000000	0	25468.091550	1.000000	0	25468.091550	1.000000	1000300	
12	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	
12	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	
12	29431.997950	1.000000	999700	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	29431.997950	1.000000	0	
12	27787.072039	1.000000	0	27787.072039	1.000000	0	27787.072039	1.000000	0	27787.072039	1.000000	0	27787.072039	1.000000	0	27787.072039	1.000000	0	
12	27787.072039	1.000000	0	27787.072039	1.000000	0	27787.072039	1.000000	0	27787.072039	1.000000	999800	27787.072039	1.000000	0	27787.072039	1.000000	0	
12	34051.652545	1.000000	0	34051.652545	1.000000	0	35308.264510	0.964410	0	34051.652545	1.000000	0	35308.264510	0.964410	0	34051.652545	1.000000	1002600	
12	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	
12	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	
12	27312.524464	1.000000	999300	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	27312.524464	1.000000	0	
12	34320.498964	1.000000	0	34320.498964	1.000000	0	34320.498964	1.000000	0	34320.498964	1.000000	0	34320.498964	1.000000	0	34320.498964	1.000000	0	
12	34320.498964	1.000000	1001000	34320.498964	1.000000	0	34320.498964	1.000000	0	34320.498964	1.000000	0	34320.498964	1.000000	0	34320.498964	1.000000	0	
12	29005.838823	1.000000	0	29005.838823	1.000000	0	29237.084418	0.992091	0	29005.838823	1.000000	0	29770.724031	0.974307	0	29005.838823	1.000000	0	
12	29005.838823	1.000000	0	29005.838823	1.000000	0	29237.084418	0.992091	0	29005.838823	1.000000	1000000	29770.724031	0.974307	0	29005.838823	1.000000	0	
12	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	
12	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	
12	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	0	28909.520161	1.000000	999800	
12	24929.240092	1.000000	0	24929.240092	1.000000	0	24929.240092	1.000000	0	24929.240092	1.000000	0	24929.240092	1.000000	0	24929.240092	1.000000	0	
12	24929.240092	1.000000	0	24929.240092	1.000000	0	24929.240092	1.000000	0	24929.240092	1.000000	0	24929.240092	1.000000	0	24929.240092	1.000000	0	
12	33699.097155	1.000000	0	33699.097155	1.000000	0	33803.384113	0.996915	0	33699.097155	1.000000	0	34547.544658	0.975441	0	33699.097155	1.000000	0	
12	33699.097155	1.000000	0	33699.097155	1.000000	0	33803.384113	0.996915	0	33699.097155	1.000000	0	34547.544658	0.975441	0	33699.097155	1.000000	0	
12	33699.097155	1.000000	0	33699.097155	1.000000	0	33803.384113	0.996915	0	33699.097155	1.000000	1001800	34547.544658	0.975441	0	33699.097155	1.000000	0	
12	33158.482716	1.000000	0	35212.680064	0.941663	0	33158.482716	1.000000	0	33158.482716	1.000000	0	33158.482716	1.000000	0	33158.482716	1.000000	0	
12	33158.482716	1.000000	0	35212.680064	0.941663	0	33158.482716	1.000000	0	33158.482716	1.000000	0	33158.482716	1.000000	0	33158.482716	1.000000	0	
12	33158.482716	1.000000	0	35212.680064	0.941663	0	33158.482716	1.000000	0	33158.482716	1.000000	0	33158.482716	1.000000	0	33158.482716	1.000000	0	
