num_vertices	heap_mc_len	heap_mc_perc	heap_mc_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	
10	28419.840455	1.000000	0	28419.840455	1.000000	0	28419.840455	1.000000	0	28419.840455	1.000000	0	28419.840455	1.000000	0	
10	28419.840455	1.000000	0	28419.840455	1.000000	0	28419.840455	1.000000	0	28419.840455	1.000000	0	28419.840455	1.000000	0	
10	28419.840455	1.000000	0	28419.840455	1.000000	0	28419.840455	1.000000	512700	28419.840455	1.000000	0	28419.840455	1.000000	0	
10	29235.652627	1.000000	0	29235.652627	1.000000	0	29235.652627	1.000000	0	29235.652627	1.000000	0	29235.652627	1.000000	0	
10	29235.652627	1.000000	0	29235.652627	1.000000	8200	29235.652627	1.000000	0	29235.652627	1.000000	0	29235.652627	1.000000	0	
10	33869.282047	1.000000	0	34116.706141	0.992748	0	34116.706141	0.992748	0	34731.822518	0.975166	0	34116.706141	0.992748	0	
10	33869.282047	1.000000	0	34116.706141	0.992748	0	34116.706141	0.992748	0	34731.822518	0.975166	512300	34116.706141	0.992748	0	
10	28227.556388	1.000000	0	28227.556388	1.000000	0	28227.556388	1.000000	0	28227.556388	1.000000	0	28227.556388	1.000000	0	
10	28227.556388	1.000000	0	28227.556388	1.000000	0	28227.556388	1.000000	0	28227.556388	1.000000	0	28227.556388	1.000000	0	
10	28227.556388	1.000000	503100	28227.556388	1.000000	0	28227.556388	1.000000	0	28227.556388	1.000000	0	28227.556388	1.000000	0	
10	28825.172266	1.000000	0	28825.172266	1.000000	0	28825.172266	1.000000	0	28825.172266	1.000000	0	28825.172266	1.000000	0	
10	28825.172266	1.000000	0	28825.172266	1.000000	0	28825.172266	1.000000	0	28825.172266	1.000000	0	28825.172266	1.000000	0	
10	28825.172266	1.000000	503200	28825.172266	1.000000	0	28825.172266	1.000000	37100	28825.172266	1.000000	0	28825.172266	1.000000	0	
11	31428.602768	1.000000	0	31428.602768	1.000000	0	31428.602768	1.000000	0	31428.602768	1.000000	0	31428.602768	1.000000	0	
11	31428.602768	1.000000	0	31428.602768	1.000000	0	31428.602768	1.000000	505400	31428.602768	1.000000	0	31428.602768	1.000000	0	
11	29828.203056	1.000000	0	29828.203056	1.000000	0	29828.203056	1.000000	0	29828.203056	1.000000	0	29828.203056	1.000000	0	
11	29828.203056	1.000000	0	29828.203056	1.000000	13100	29828.203056	1.000000	0	29828.203056	1.000000	0	29828.203056	1.000000	0	
11	27042.160450	1.000000	0	27042.160450	1.000000	0	27042.160450	1.000000	0	27042.160450	1.000000	0	27042.160450	1.000000	0	
11	27042.160450	1.000000	0	27042.160450	1.000000	0	27042.160450	1.000000	0	27042.160450	1.000000	0	27042.160450	1.000000	0	
11	27042.160450	1.000000	0	27042.160450	1.000000	0	27042.160450	1.000000	0	27042.160450	1.000000	0	27042.160450	1.000000	0	
11	27042.160450	1.000000	0	27042.160450	1.000000	0	27042.160450	1.000000	989700	27042.160450	1.000000	0	27042.160450	1.000000	0	
11	28871.031303	1.000000	0	28871.031303	1.000000	0	28871.031303	1.000000	0	28871.031303	1.000000	0	28871.031303	1.000000	0	
11	28871.031303	1.000000	0	28871.031303	1.000000	0	28871.031303	1.000000	0	28871.031303	1.000000	0	28871.031303	1.000000	0	
11	28871.031303	1.000000	0	28871.031303	1.000000	0	28871.031303	1.000000	0	28871.031303	1.000000	0	28871.031303	1.000000	0	
11	32630.686979	1.000000	0	32630.686979	1.000000	0	32630.686979	1.000000	515100	32630.686979	1.000000	0	32630.686979	1.000000	0	
11	29744.694949	1.000000	0	29744.694949	1.000000	0	29744.694949	1.000000	0	29744.694949	1.000000	0	29744.694949	1.000000	0	
11	29744.694949	1.000000	0	29744.694949	1.000000	0	29744.694949	1.000000	0	29744.694949	1.000000	992600	29744.694949	1.000000	0	
11	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	
11	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	
11	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	
11	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	
11	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	0	26522.536833	1.000000	999900	
11	33654.444558	1.000000	0	33797.135602	0.995778	0	33797.135602	0.995778	0	33873.354039	0.993537	0	33797.135602	0.995778	0	
11	33654.444558	1.000000	0	33797.135602	0.995778	0	33797.135602	0.995778	0	33873.354039	0.993537	0	33797.135602	0.995778	0	
11	33654.444558	1.000000	1000300	33797.135602	0.995778	0	33797.135602	0.995778	0	33873.354039	0.993537	0	33797.135602	0.995778	0	
11	31417.006574	1.000000	0	31417.006574	1.000000	0	31417.006574	1.000000	0	31417.006574	1.000000	0	31417.006574	1.000000	0	
11	31417.006574	1.000000	0	31417.006574	1.000000	0	31417.006574	1.000000	0	31417.006574	1.000000	0	31417.006574	1.000000	0	
11	31417.006574	1.000000	0	31417.006574	1.000000	0	31417.006574	1.000000	0	31417.006574	1.000000	0	31417.006574	1.000000	0	
11	31417.006574	1.000000	0	31417.006574	1.000000	0	31417.006574	1.000000	1001400	31417.006574	1.000000	0	31417.006574	1.000000	0	
11	35331.348298	1.000000	0	35648.685360	0.991098	0	35648.685360	0.991098	0	35648.685360	0.991098	0	35648.685360	0.991098	0	
11	26798.768534	1.000000	0	26798.768534	1.000000	0	26798.768534	1.000000	0	26798.768534	1.000000	0	26798.768534	1.000000	0	
11	26798.768534	1.000000	0	26798.768534	1.000000	0	26798.768534	1.000000	0	26798.768534	1.000000	0	26798.768534	1.000000	0	
11	26798.768534	1.000000	0	26798.768534	1.000000	0	26798.768534	1.000000	0	26798.768534	1.000000	0	26798.768534	1.000000	0	
11	26798.768534	1.000000	0	26798.768534	1.000000	0	26798.768534	1.000000	1000400	26798.768534	1.000000	0	26798.768534	1.000000	0	
11	30376.588288	1.000000	0	30376.588288	1.000000	0	30376.588288	1.000000	0	30376.588288	1.000000	0	30376.588288	1.000000	0	
