num_vertices	np_len	np_perc	np_nanos	np_heap_len	np_heap_perc	np_heap_nanos	greedy_len	greedy_perc	greedy_nanos	
9	31396.306740	1.000000	1415844400	31396.306740	1.000000	108023800	31396.306740	1.000000	1000300	
9	36828.347684	1.000000	1554882400	36828.347684	1.000000	458684900	37383.695812	0.985145	0	
9	30004.061747	1.000000	1186804000	30004.061747	1.000000	326173200	31971.707693	0.938457	0	
9	38326.041029	1.000000	1390739600	38326.041029	1.000000	390621700	40263.768018	0.951874	0	
9	28222.376109	1.000000	1364885100	28222.376109	1.000000	617676300	28222.376109	1.000000	0	
9	34604.075545	1.000000	1410867400	34604.075545	1.000000	217048800	36712.165009	0.942578	0	
9	36989.583290	1.000000	1429870100	36989.583290	1.000000	307362800	36989.583290	1.000000	0	
9	11429.743762	1.000000	1415634900	11429.743762	1.000000	177379800	11429.743762	1.000000	1000100	
9	29292.561919	1.000000	1315275100	29292.561919	1.000000	204043800	29292.561919	1.000000	0	
9	35420.266109	1.000000	1300105700	35420.266109	1.000000	116049800	35420.266109	1.000000	0	
9	23253.618916	1.000000	1337366500	23253.618916	1.000000	154034600	23253.618916	1.000000	999700	
9	21212.239501	1.000000	1233286800	21212.239501	1.000000	246354400	21212.239501	1.000000	0	
9	30181.726447	1.000000	1464329300	30181.726447	1.000000	228051100	30181.726447	1.000000	0	
9	36394.338667	1.000000	1425086200	36394.338667	1.000000	186041000	45902.344873	0.792864	999800	
9	40478.724190	1.000000	1220274100	40478.724190	1.000000	97022500	45966.002168	0.880623	0	
9	25956.224000	1.000000	1235651300	25956.224000	1.000000	80018000	27093.256475	0.958033	1000100	
9	28813.494793	1.000000	1349306700	28813.494793	1.000000	271047800	29661.605918	0.971407	0	
9	30758.068836	1.000000	1266813200	30758.068836	1.000000	215038600	32678.489610	0.941233	1000400	
9	31288.378430	1.000000	1162270600	31288.378430	1.000000	254047900	32003.515065	0.977654	0	
9	49845.996299	1.000000	1277525000	49845.996299	1.000000	484112100	50525.818810	0.986545	0	
9	31205.850602	1.000000	1396045600	31205.850602	1.000000	216036300	31205.850602	1.000000	0	
9	34210.771109	1.000000	1458327700	34210.771109	1.000000	252056600	35983.329730	0.950739	1000500	
9	28034.315443	1.000000	1257282300	28034.315443	1.000000	73522400	28034.315443	1.000000	0	
